SchoolID,NAME,Managed by Network,Geographic Area,"ES
or
HS","20th DAY
2013-14 School
Enrollment",Total # CR,IC,School's Space Utilization Index,"Space Use Status - 
Permanent","Moible
CR's","Leased
Cr's",Adj IC,Adj Util,"Space Use Status - 
Adjusted",,,,,,,,,
400115,CATALYST - MARIA,Charter,Chicago Lawn,ES,832,45.0,"1,020",82%,Efficient,,,,82%,Efficient,,,,,,,,,
400021,CATALYST-CIRCLE ROCK,Charter,Austin,ES,521,21.0,480,109%,Efficient,,,,109%,Efficient,,,,,,,,,
400020,CATALYST-HOWLAND,Charter,North Lawndale,ES,472,25.0,570,83%,Efficient,,,,83%,Efficient,,,,,,,,,
610251,CATHER,5,Garfield - West Humboldt,ES,451,35.0,780,58%,Underutilized,,,,58%,Underutilized,,,,,,,,,
609851,CHALMERS,AUSL,North Lawndale,ES,406,30.5,690,59%,Underutilized,,,,59%,Underutilized,,,,,,,,,
609852,CHAPPELL,2,Ravenswood,ES,551,30.0,690,80%,Efficient,,,,80%,Efficient,,,,,,,,,
609853,CHASE,4,Logan,ES,498,32.0,720,69%,Underutilized,,,,69%,Underutilized,,,,,,,,,
610148,CHAVEZ,8,McKinley Park,ES,947,22.0,480,197%,Overcrowded,,21,990,96%,Efficient,,,,,,,,,
400022,CHIARTS HS,Contract,Bronzeville,HS,575,49.0,"1,176",49%,Underutilized,,,,49%,Underutilized,,,,,,,,,
610248,CHICAGO ACAD ELEM - FULL LEASE,AUSL,Reed-Dunning,ES,600,27.0,600,100%,Efficient,,,,100%,Efficient,,,,,,,,,
610340,CHICAGO ACAD HS - FULL LEASE,AUSL,Reed-Dunning,HS,518,27.0,648,80%,Efficient,,,,80%,Efficient,,,,,,,,,
609753,CHICAGO AG HS,10,Beverly,HS,651,45.5,"1,092",60%,Underutilized,,,,60%,Underutilized,,,,,,,,,
400161,CHICAGO COLLEGIATE,Charter,Far South Side,ES,115,12.0,270,43%,Underutilized,,,,43%,Underutilized,,,,,,,,,
400147,CHICAGO EXCEL HS,Options,Far South Side,HS,375,N/A,375,100%,Efficient,,,,100%,Efficient,,,,,,,,,
609754,CHICAGO MILITARY HS,9,Bronzeville,HS,405,26.0,624,65%,Underutilized,,,,65%,Underutilized,,,,,,,,,
400091,CHICAGO TECH ACAD HS,Contract,Near West,HS,387,27.0,648,60%,Underutilized,,,,60%,Underutilized,,,,,,,,,
400036,CHICAGO VIRTUAL CHARTER,Charter,Near West,ES,690,N/A,N/A,N/A,N/A,,,,N/A,,,,,,,,,,
609854,CHOPIN,5,Humboldt Park,ES,594,32.5,750,79%,Underutilized,,,,79%,Underutilized,,,,,,,,,
609855,CHRISTOPHER,8,McKinley Park,ES,360,26.0,260,138%,Overcrowded,4,,299,120%,Efficient,,,,,,,,,
400159,CHRISTOPHER HOUSE,Charter,Belmont Cragin,ES,95,26.0,600,16%,Underutilized,,,,16%,Underutilized,,,,,,,,,
400023,CICS-AVALON/SO SHORE,Charter,Chatham,ES,418,18.0,390,107%,Efficient,,,,107%,Efficient,,,,,,,,,
400024,CICS-BASIL,Charter,Englewood,ES,704,30.0,690,102%,Efficient,,,,102%,Efficient,,,,,,,,,
400092,CICS-BOND,Charter,Far South Side,ES,348,15.0,330,105%,Efficient,,,,105%,Efficient,,,,,,,,,
400025,CICS-BUCKTOWN,Charter,Near North,ES,674,28.0,630,107%,Efficient,,,,107%,Efficient,,,,,,,,,
400032,CICS-ELLISON HS,Charter,Auburn Gresham,HS,481,25.0,600,80%,Efficient,,,,80%,Efficient,,,,,,,,,
400108,CICS-HAWKINS HS,Charter,Far South Side,HS,348,34.0,816,43%,Underutilized,,,,43%,Underutilized,,,,,,,,,
400027,CICS-IRVING PARK,Charter,Albany Irving,ES,534,19.0,420,127%,Overcrowded,,,,127%,Overcrowded,,,,,,,,,
400033,CICS-LONGWOOD,Charter,Auburn Gresham,ES,1283,65.0,"1,500",86%,Efficient,,,,86%,Efficient,,,,,,,,,
400026,CICS-LOOMIS,Charter,Auburn Gresham,ES,578,25.0,570,101%,Efficient,,,,101%,Efficient,,,,,,,,,
400034,CICS-NORTHTOWN HS,Charter,Albany Irving,HS,886,36.0,864,103%,Efficient,,,,103%,Efficient,,,,,,,,,
400028,CICS-PRAIRIE,Charter,Far South Side,ES,406,18.0,390,104%,Efficient,,,,104%,Efficient,,,,,,,,,
400113,CICS-QUEST HS,Charter,Lincoln Park,HS,379,40.0,960,39%,Underutilized,,,,39%,Underutilized,,,,,,,,,
400029,CICS-WASHINGTON PARK,Charter,Woodlawn,ES,442,20.0,450,98%,Efficient,,,,98%,Efficient,,,,,,,,,
400030,CICS-WEST BELDEN,Charter,Belmont Cragin,ES,500,19.0,420,119%,Efficient,,,,119%,Efficient,,,,,,,,,
400031,CICS-WRIGHTWOOD,Charter,Ashburn,ES,731,29.0,660,111%,Efficient,,,,111%,Efficient,,,,,,,,,
610347,CLAREMONT,10,Chicago Lawn,ES,477,35.5,810,59%,Underutilized,,,,59%,Underutilized,,,,,,,,,
609795,CLARK ES,3,Austin,ES,279,19.5,450,62%,Underutilized,,,,62%,Underutilized,,,,,,,,,
610244,CLARK HS,3,Austin,HS,499,28.5,684,73%,Underutilized,,,,73%,Underutilized,,,,,,,,,
609856,CLAY,13,Far East Side,ES,568,29.5,660,86%,Efficient,,6,810,70%,Underutilized,,,,,,,,,
609759,CLEMENTE HS,OS4,Humboldt Park,HS,701,131.0,"3,144",22%,Underutilized,,,,22%,Underutilized,,,,,,,,,
609857,CLEVELAND,1,Albany Irving,ES,689,30.0,690,100%,Efficient,4,,780,88%,Efficient,,,,,,,,,
609859,CLINTON,2,Ravenswood,ES,1147,48.0,"1,080",106%,Efficient,,,,106%,Efficient,,,,,,,,,
609861,CLISSOLD,10,Beverly,ES,560,25.0,570,98%,Efficient,4,,660,85%,Efficient,,,,,,,,,
400035,CMSA HS,Charter,Ravenswood,HS,606,25.0,600,101%,Efficient,,,,101%,Efficient,,,,,,,,,
610199,COLEMON,13,Far South Side,ES,279,13.0,300,93%,Efficient,,,,93%,Efficient,,,,,,,,,
609862,COLES,12,South Shore,ES,547,30.5,690,79%,Underutilized,8,,870,63%,Underutilized,,,,,,,,,
610499,COLLINS ACAD HS,AUSL,North Lawndale,HS,384,26.0,624,62%,Underutilized,,,,62%,Underutilized,,,,,,,,,
610170,COLUMBIA EXPLORERS,8,McKinley Park,ES,1083,31.5,720,150%,Overcrowded,,12,990,109%,Efficient,,,,,,,,,
609863,COLUMBUS,5,Humboldt Park,ES,294,11.5,240,123%,Overcrowded,,,,123%,Overcrowded,,,,,,,,,
400038,COMMUNITY SVCS WEST,Options,North Lawndale,HS,156,8.0,200,78%,Underutilized,,,,78%,Underutilized,,,,,,,,,
609864,COOK,11,Auburn Gresham,ES,437,45.0,"1,020",43%,Underutilized,,,,43%,Underutilized,,,,,,,,,
609866,COONLEY,2,Ravenswood,ES,732,24.0,540,136%,Overcrowded,,,,136%,Overcrowded,,,,,,,,,
609867,COOPER,7,Pilsen - Little Village,ES,635,49.0,"1,110",57%,Underutilized,,,,57%,Underutilized,,,,,,,,,
609870,CORKERY,7,Pilsen - Little Village,ES,607,34.5,780,78%,Underutilized,,,,78%,Underutilized,,,,,,,,,
609761,CORLISS HS,13,Far South Side,HS,497,42.0,"1,008",49%,Underutilized,,,,49%,Underutilized,,,,,,,,,
610355,COURTENAY,2,Ravenswood,ES,631,46.5,"1,050",60%,Underutilized,,,,60%,Underutilized,,,,,,,,,
609702,CRANE HS,6,Near West,HS,162,35.0,840,19%,Underutilized,,,,19%,Underutilized,,,,,,,,,
610561,CRANE MEDICAL PREP HS,6,Near West,HS,149,18.0,432,34%,Underutilized,,,,34%,Underutilized,,,,,,,,,
609873,CROWN,OS4,North Lawndale,ES,349,32.0,720,48%,Underutilized,,,,48%,Underutilized,,,,,,,,,
610003,CUFFE,11,Auburn Gresham,ES,459,28.0,630,73%,Underutilized,,,,73%,Underutilized,,,,,,,,,
610004,CULLEN,13,Far South Side,ES,261,16.5,360,73%,Underutilized,,,,73%,Underutilized,,,,,,,,,
609756,CURIE HS,8,McKinley Park,HS,2982,115.5,"2,772",108%,Efficient,,,,108%,Efficient,,,,,,,,,
609900,CURTIS,AUSL,Far South Side,ES,626,36.0,810,77%,Underutilized,,,,77%,Underutilized,,,,,,,,,
609674,CVCA HS,OS4,Chatham,HS,990,166.0,"3,984",25%,Underutilized,4,,"4,080",24%,Underutilized,,,,,,,,,
