Ward,Precinct,Precinct Code,Emanuel,%,Del Valle,%,M-B,%,Chico,%,Watkins,%,Walls,%,Total,,White,%,AA,%,Hispanic,%,Asian,%,Native Am,%,Hawaiian,%,Other,%,2 or More,%,Total,Majority
3,47,3047,67,52.34%,5,3.91%,30,23.44%,17,13.28%,3,2.34%,6,4.69%,128,,17,3.52%,439,90.89%,15,3.11%,3,0.62%,0,0.00%,0,0.00%,0,0.00%,8,1.66%,483,AA
3,48,3048,111,64.53%,5,2.91%,41,23.84%,7,4.07%,4,2.33%,4,2.33%,172,,66,10.17%,497,76.58%,62,9.55%,14,2.16%,2,0.31%,0,0.00%,0,0.00%,7,1.08%,649,AA
3,49,3049,36,60.00%,7,11.67%,12,20.00%,4,6.67%,1,1.67%,0,0.00%,60,,20,4.15%,443,91.91%,10,2.07%,3,0.62%,0,0.00%,0,0.00%,0,0.00%,5,1.04%,482,AA
3,50,3050,76,54.68%,2,1.44%,34,24.46%,17,12.23%,6,4.32%,4,2.88%,139,,150,21.01%,402,56.30%,117,16.39%,33,4.62%,3,0.42%,0,0.00%,0,0.00%,7,0.98%,714,AA
4,1,4001,189,49.61%,78,20.47%,52,13.65%,52,13.65%,6,1.57%,5,1.31%,381,,971,48.94%,428,21.57%,163,8.22%,337,16.99%,1,0.05%,0,0.00%,11,0.55%,74,3.73%,"1,984",Mixed
4,2,4002,208,61.90%,15,4.46%,63,18.75%,34,10.12%,7,2.08%,8,2.38%,336,,28,5.47%,374,73.05%,8,1.56%,86,16.80%,0,0.00%,0,0.00%,1,0.20%,11,2.15%,512,AA
4,3,4003,167,54.93%,18,5.92%,72,23.68%,30,9.87%,11,3.62%,5,1.64%,304,,135,6.83%,"1,742",88.16%,38,1.92%,23,1.16%,2,0.10%,0,0.00%,2,0.10%,36,1.82%,"1,976",AA
4,4,4004,189,64.07%,8,2.71%,56,18.98%,23,7.80%,8,2.71%,11,3.73%,295,,38,2.81%,"1,253",92.54%,23,1.70%,11,0.81%,5,0.37%,0,0.00%,2,0.15%,21,1.55%,"1,354",AA
4,5,4005,217,56.36%,26,6.75%,96,24.94%,26,6.75%,9,2.34%,9,2.34%,385,,68,5.14%,"1,156",87.44%,39,2.95%,27,2.04%,2,0.15%,0,0.00%,6,0.45%,25,1.89%,"1,322",AA
4,6,4006,55,48.67%,4,3.54%,38,33.63%,11,9.73%,1,0.88%,4,3.54%,113,,14,4.27%,302,92.07%,7,2.13%,2,0.61%,0,0.00%,0,0.00%,0,0.00%,4,1.22%,328,AA
4,7,4007,201,59.64%,17,5.04%,69,20.47%,33,9.79%,6,1.78%,11,3.26%,337,,37,2.89%,"1,186",92.66%,23,1.80%,10,0.78%,3,0.23%,0,0.00%,2,0.16%,21,1.64%,"1,280",AA
4,8,4008,209,64.71%,12,3.72%,57,17.65%,30,9.29%,12,3.72%,2,0.62%,323,,27,2.90%,867,93.13%,17,1.83%,4,0.43%,0,0.00%,0,0.00%,0,0.00%,15,1.61%,931,AA
