PRECINCT,WARD,FULL_TEXT,SHAPE_AREA,SHAPE_LEN
28,3,03028,4161352.465290000196546,8520.695501640000657
40,3,03040,368124.265448999998625,3449.679722089999814
13,4,04013,1118992.265270000090823,4737.836640989999978
2,4,04002,321000.487309999996796,2287.215960300000006
16,4,04016,952025.649008000036702,6899.677159959999699
24,4,04024,2289762.886930000036955,6964.101374290000422
6,4,04006,10619801.140399999916553,15487.614929800000027
17,4,04017,654416.061927999951877,4153.487745849999556
20,4,04020,571806.93578499997966,3691.134867169999779
14,4,04014,3791317.611049999948591,9968.148449970000001
7,5,05007,766673.317032000049949,4482.235141039999689
21,4,04021,2022818.355320000089705,7207.688011240000378
25,4,04025,18890961.249099999666214,37780.955969000002369
1,4,04001,2224762.929279999807477,8396.194454899999982
3,4,04003,6096852.972819999791682,15618.89623980000033
7,4,04007,4339309.282069999724627,11518.862007300000187
4,4,04004,7165561.130619999952614,12756.211747100000139
5,4,04005,2715644.88581999996677,9171.314955710000504
8,4,04008,1676534.77799000008963,6619.569150950000221
9,4,04009,665519.298415999975987,3884.116872730000068
11,4,04011,3127425.561499999836087,11089.037796299999172
12,4,04012,2822516.001300000119954,7840.40926318000038
15,4,04015,1756317.733969999942929,6759.3935643599998
18,4,04018,1829897.29768000007607,6459.432419529999606
19,4,04019,362087.788798999972641,2955.237312990000191
22,4,04022,2987457.586870000232011,7143.342400249999628
23,4,04023,1535996.394390000030398,6715.598381810000319
32,4,04032,3593948.876040000002831,9235.874166240000704
30,4,04030,4713432.625989999622107,9606.851938800000426
29,4,04029,2957388.464490000158548,9658.961584189999485
26,4,04026,1457444.90550999995321,6607.215972050000346
9,5,05009,1127813.075900000054389,5726.069807259999834
19,5,05019,914730.188560000038706,4476.6064018699999
31,4,04031,1938343.729319999925792,6147.83190594000007
27,4,04027,2669670.388429999817163,7041.227037200000268
33,4,04033,2450282.330430000089109,6606.266156079999746
34,4,04034,1938859.443949999986216,6634.91984678999961
20,5,05020,1727662.586919999914244,6604.057148599999891
35,4,04035,6724743.171140000224113,12238.786118199999692
37,4,04037,1300589.153230000054464,6087.837319250000292
36,4,04036,2764377.880150000099093,7770.803345029999946
38,4,04038,2028841.417919999919832,7542.610789860000295
4,5,05004,1407884.600199999986216,5398.00812225000027
21,5,05021,1743407.630869999993593,6840.438858280000204
22,5,05022,1737074.800520000047982,7535.770566340000187
1,5,05001,993804.177570999949239,5328.75584482999966
2,5,05002,2653760.058970000129193,7023.084332630000063
3,5,05003,1829044.997720000101253,5767.659559650000119
16,5,05016,1872584.505880000069737,6967.50304167000013
5,5,05005,2255163.455699999816716,8209.722729290000643
6,5,05006,1774885.539550000103191,9353.229912779999722
8,5,05008,1457617.542140000034124,5278.226004250000187
10,5,05010,2684639.795359999872744,9963.196524889999637
11,5,05011,740653.543044000049122,4473.211897619999945
17,5,05017,1013806.187760000000708,6696.050443680000171
12,5,05012,8281824.369610000401735,20542.289317700000538
13,5,05013,2549446.028799999970943,8771.617366180000317
14,5,05014,1972461.884689999977127,7292.702256399999897
15,5,05015,5782559.503460000269115,12519.653149300000223
18,5,05018,1102424.049459999892861,6993.349125030000323
26,5,05026,989831.814327999949455,5023.303078959999766
27,5,05027,7427976.28201000019908,12315.492857200000799
28,5,05028,2207172.250200000125915,6206.282053930000075
36,5,05036,1171971.857169999973848,5045.232680910000454
37,5,05037,708646.383501000003889,4538.839183449999837
9,8,08009,1241408.328049999894574,5311.763986869999826
29,5,05029,3957205.996259999927133,12304.930463099999542
31,5,05031,1442984.950979999965057,5661.549839240000438
32,5,05032,909885.302799999946728,4445.653674080000201
33,5,05033,1635619.09843000001274,5821.003116859999864
35,5,05035,1983325.640940000070259,10916.568504400000165
39,5,05039,969341.457839000038803,5371.180124139999862
38,5,05038,1052701.253509999951348,4889.862661600000138
34,5,05034,1816249.677870000014082,6399.639207399999577
30,5,05030,11649515.236700000241399,16641.255630299998302
25,5,05025,25695249.807199999690056,35894.522176099999342
24,5,05024,1693862.961200000019744,6084.290291909999723
23,5,05023,2663444.058819999918342,7493.246578930000396
40,5,05040,814962.850647000013851,4221.143877079999584
41,5,05041,110619.325834999996005,1345.035819330000095
1,6,06001,2025678.971450000070035,5965.870470249999926
3,6,06003,2760483.086089999880642,7750.636566299999686
4,6,06004,2691500.043479999992996,8632.864459379999971
34,6,06034,1211073.594030000036582,4648.752607030000036
5,6,06005,3512144.834170000161976,7956.723810659999799
6,6,06006,2872512.502270000055432,7455.73679065000033
7,6,06007,3944423.627520000096411,10434.774251500000901
8,6,06008,3371429.990639999974519,8981.820309400000042
11,6,06011,2322050.352880000136793,7685.356323480000356
12,6,06012,3544508.451150000095367,8016.680017869999574
13,6,06013,1790501.98717000009492,8148.083955639999658
14,6,06014,2097427.923210000153631,5979.569753630000378
15,6,06015,6563452.577030000276864,10961.589892399999371
16,6,06016,2919633.021590000018477,7510.162640540000211
11,7,07011,1448536.473059999989346,6281.955682159999924
18,6,06018,3209054.177370000164956,8778.556578870000521
19,6,06019,2414352.68371000001207,6839.257810770000106
29,6,06029,2932837.740400000009686,7490.823075680000329
30,6,06030,1852891.341539999935776,6231.024216529999649
31,6,06031,2902981.652850000187755,7521.900784170000406
32,6,06032,2768931.625729999970645,7045.148496619999605
33,6,06033,1829749.358179999981076,6392.258327730000019
35,6,06035,2226568.850019999779761,8058.198983270000099
37,6,06037,2533849.266919999849051,7917.469211849999738
39,6,06039,2426559.807579999789596,7308.727996630000234
41,6,06041,2483161.807210000231862,7092.165978660000292
43,6,06043,1898967.606930000009015,5956.791873580000356
