"Elec"
"Emanuel","Emanuel_Pct","Pct","Votes Cast","Wilson","Wilson_Pct","property10","property7","property8","property9"
"433","81.54%","5","531","91","17.14%","0.94%","2","0.38%","5"
"451","86.23%","6","523","57","10.90%","1.53%","7","1.34%","8"
"348","82.86%","7","420","54","12.86%","1.90%","10","2.38%","8"
"563","88.11%","8","639","53","8.29%","1.25%","15","2.35%","8"
"375","84.08%","9","446","67","15.02%","0.67%","1","0.22%","3"
"425","80.95%","10","525","91","17.33%","0.95%","4","0.76%","5"
"520","82.54%","11","630","89","14.13%","1.75%","10","1.59%","11"
"297","77.55%","12","383","74","19.32%","1.04%","8","2.09%","4"
"605","85.82%","13","705","79","11.21%","1.56%","10","1.42%","11"
"364","78.45%","14","464","88","18.97%","1.29%","6","1.29%","6"
"347","77.98%","15","445","90","20.22%","1.80%","0","0.00%","8"
"556","85.67%","16","649","67","10.32%","1.54%","16","2.47%","10"
"335","80.14%","17","418","74","17.70%","0.96%","5","1.20%","4"
"408","85.71%","18","476","56","11.76%","2.10%","2","0.42%","10"
"478","79.67%","19","600","111","18.50%","0.83%","6","1.00%","5"
"429","81.87%","20","524","87","16.60%","1.34%","1","0.19%","7"
"","%","","Votes Cast","","%","%","","%",""
"478","82.41%","21","580","74","12.76%","2.93%","11","1.90%","17"
"414","83.13%","22","498","70","14.06%","1.00%","9","1.81%","5"
"498","86.16%","23","578","68","11.76%","0.87%","7","1.21%","5"
"314","75.12%","24","418","99","23.68%","0.72%","2","0.48%","3"
"516","87.61%","25","589","56","9.51%","1.87%","6","1.02%","11"
"436","80.44%","26","542","85","15.68%","1.85%","11","2.03%","10"
"559","82.94%","27","674","100","14.84%","1.78%","3","0.45%","12"
"480","89.55%","28","536","38","7.09%","2.61%","4","0.75%","14"
"343","71.31%","29","481","132","27.44%","0.62%","3","0.62%","3"
"337","69.20%","30","487","145","29.77%","0.41%","3","0.62%","2"
"473","84.46%","31","560","72","12.86%","1.79%","5","0.89%","10"
"16264","82.06%","","","3057","15.42%","1.37%","227","1.15%","272"
"489","83.30%","32","587","83","14.14%","1.36%","7","1.19%","8"
"466","88.59%","33","526","50","9.51%","1.52%","2","0.38%","8"
"345","80.05%","34","431","80","18.56%","0.46%","4","0.93%","2"
"328","75.58%","35","434","100","23.04%","1.15%","1","0.23%","5"
"387","82.87%","36","467","71","15.20%","1.07%","4","0.86%","5"
"458","86.25%","37","531","67","12.62%","0.94%","1","0.19%","5"
"472","77.12%","38","612","117","19.12%","1.80%","12","1.96%","11"
"112","80.00%","39","140","23","16.43%","0.00%","5","3.57%","0"
"","%","","Votes Cast","","%","%","","%",""
"263","53.02%","1","496","228","45.97%","0.60%","2","0.40%","3"
"247","47.23%","2","523","265","50.67%","1.15%","5","0.96%","6"
"258","57.33%","3","450","179","39.78%","1.56%","6","1.33%","7"
"287","53.45%","4","537","238","44.32%","0.93%","7","1.30%","5"
"284","57.96%","5","490","194","39.59%","0.82%","8","1.63%","4"
"293","49.66%","6","590","292","49.49%","0.17%","4","0.68%","1"
"283","52.41%","7","540","248","45.93%","1.11%","3","0.56%","6"
"272","51.42%","8","529","247","46.69%","0.57%","7","1.32%","3"
"297","55.31%","9","537","232","43.20%","0.56%","5","0.93%","3"
"290","51.33%","10","565","267","47.26%","0.71%","4","0.71%","4"
"291","54.29%","11","536","234","43.66%","0.93%","6","1.12%","5"
"285","60.00%","12","475","187","39.37%","0.42%","1","0.21%","2"
"231","47.93%","13","482","237","49.17%","1.24%","8","1.66%","6"
"305","51.52%","14","592","272","45.95%","1.18%","8","1.35%","7"
"276","51.59%","15","535","240","44.86%","0.93%","14","2.62%","5"
"322","57.81%","16","557","219","39.32%","1.26%","9","1.62%","7"
"282","50.90%","17","554","259","46.75%","1.26%","6","1.08%","7"
"264","53.88%","18","490","220","44.90%","0.20%","5","1.02%","1"
"317","51.54%","19","615","287","46.67%","0.81%","6","0.98%","5"
"240","54.42%","20","441","191","43.31%","0.45%","8","1.81%","2"
"304","59.03%","21","515","203","39.42%","0.97%","3","0.58%","5"
"272","50.09%","22","543","266","48.99%","0.37%","3","0.55%","2"
"282","56.51%","23","499","203","40.68%","0.80%","10","2.00%","4"
"229","47.41%","24","483","243","50.31%","0.62%","8","1.66%","3"
"","%","","Votes Cast","","%","%","","%",""
"266","64.72%","25","411","140","34.06%","0.49%","3","0.73%","2"
"267","52.56%","26","508","231","45.47%","0.00%","10","1.97%","0"
"228","52.90%","27","431","198","45.94%","0.46%","3","0.70%","2"
"442","71.06%","28","622","174","27.97%","0.48%","3","0.48%","3"
"297","47.90%","29","620","319","51.45%","0.16%","3","0.48%","1"
"308","58.67%","30","525","207","39.43%","0.76%","6","1.14%","4"
"278","51.58%","31","539","254","47.12%","0.37%","5","0.93%","2"
"294","51.76%","32","568","264","46.48%","0.35%","8","1.41%","2"
"260","52.53%","33","495","228","46.06%","0.81%","3","0.61%","4"
"245","51.69%","34","474","223","47.05%","0.42%","4","0.84%","2"
"280","50.72%","35","552","264","47.83%","0.18%","7","1.27%","1"
"279","55.14%","36","506","216","42.69%","0.99%","6","1.19%","5"
"290","51.06%","37","568","264","46.48%","1.23%","7","1.23%","7"
"270","55.21%","38","489","206","42.13%","0.82%","9","1.84%","4"
"13134","53.32%","","","11048","44.85%","0.71%","278","1.13%","174"
"246","46.42%","39","530","275","51.89%","0.00%","9","1.70%","0"
