"Elec"
"Emanuel","Emanuel_Pct","Fioretti","Fioretti_Pct","Garcia","Garcia_Pct","Pct","Votes Cast","Walls","Walls_Pct","Wilson","Wilson_Pct"
"127","42.91%","14","4.73%","77","26.01%","9","296","13","4.39%","65","21.96%"
"69","44.52%","12","7.74%","29","18.71%","10","155","7","4.52%","38","24.52%"
"94","37.30%","18","7.14%","66","26.19%","11","252","16","6.35%","58","23.02%"
"156","47.13%","16","4.83%","63","19.03%","12","331","14","4.23%","82","24.77%"
"174","57.43%","39","12.87%","70","23.10%","13","303","6","1.98%","14","4.62%"
"115","57.79%","22","11.06%","41","20.60%","14","199","6","3.02%","15","7.54%"
"85","36.48%","16","6.87%","45","19.31%","15","233","23","9.87%","64","27.47%"
"102","42.15%","8","3.31%","48","19.83%","16","242","17","7.02%","67","27.69%"
"123","46.77%","25","9.51%","63","23.95%","17","263","13","4.94%","39","14.83%"
"154","46.11%","42","12.57%","76","22.75%","18","334","18","5.39%","44","13.17%"
"127","56.19%","52","23.01%","40","17.70%","19","226","0","0.00%","7","3.10%"
"109","42.08%","14","5.41%","61","23.55%","20","259","20","7.72%","55","21.24%"
"165","53.92%","46","15.03%","61","19.93%","21","306","8","2.61%","26","8.50%"
"","%","","%","","%","","Votes Cast","","%","","%"
"102","45.13%","41","18.14%","73","32.30%","22","226","3","1.33%","7","3.10%"
"128","52.03%","12","4.88%","36","14.63%","23","246","23","9.35%","47","19.11%"
"117","46.61%","6","2.39%","49","19.52%","24","251","9","3.59%","70","27.89%"
"198","68.28%","29","10.00%","54","18.62%","25","290","0","0.00%","9","3.10%"
"218","60.06%","45","12.40%","76","20.94%","26","363","7","1.93%","17","4.68%"
"112","49.78%","50","22.22%","55","24.44%","27","225","3","1.33%","5","2.22%"
"118","48.56%","8","3.29%","23","9.47%","28","243","17","7.00%","77","31.69%"
"123","44.89%","11","4.01%","52","18.98%","29","274","11","4.01%","77","28.10%"
"112","38.36%","21","7.19%","80","27.40%","30","292","19","6.51%","60","20.55%"
"143","47.83%","12","4.01%","64","21.40%","31","299","13","4.35%","67","22.41%"
"153","57.95%","33","12.50%","57","21.59%","32","264","4","1.52%","17","6.44%"
"99","53.23%","33","17.74%","42","22.58%","33","186","2","1.08%","10","5.38%"
"155","52.36%","49","16.55%","55","18.58%","34","296","7","2.36%","30","10.14%"
"5223","49.07%","954","8.96%","2211","20.77%","","","489","4.59%","1768","16.61%"
"48","39.67%","19","15.70%","26","21.49%","35","121","10","8.26%","18","14.88%"
"51","36.43%","10","7.14%","18","12.86%","36","140","13","9.29%","48","34.29%"
"89","40.45%","6","2.73%","53","24.09%","37","220","21","9.55%","51","23.18%"
"178","57.23%","16","5.14%","47","15.11%","38","311","14","4.50%","56","18.01%"
"143","67.45%","28","13.21%","36","16.98%","39","212","1","0.47%","4","1.89%"
"149","49.17%","29","9.57%","71","23.43%","40","303","19","6.27%","35","11.55%"
"142","51.26%","25","9.03%","42","15.16%","41","277","19","6.86%","49","17.69%"
"","%","","%","","%","","Votes Cast","","%","","%"
"102","28.98%","27","7.67%","186","52.84%","1","352","11","3.13%","26","7.39%"
"168","60.22%","32","11.47%","61","21.86%","2","279","4","1.43%","14","5.02%"
"109","41.13%","4","1.51%","71","26.79%","3","265","15","5.66%","66","24.91%"
"144","40.91%","16","4.55%","88","25.00%","4","352","22","6.25%","82","23.30%"
"132","40.62%","16","4.92%","112","34.46%","5","325","15","4.62%","50","15.38%"
"215","52.70%","39","9.56%","81","19.85%","6","408","11","2.70%","62","15.20%"
"160","43.36%","22","5.96%","108","29.27%","7","369","21","5.69%","58","15.72%"
"132","36.36%","14","3.86%","110","30.30%","8","363","23","6.34%","84","23.14%"
"191","41.34%","23","4.98%","153","33.12%","9","462","29","6.28%","66","14.29%"
"150","43.73%","22","6.41%","99","28.86%","10","343","17","4.96%","55","16.03%"
"149","50.17%","19","6.40%","51","17.17%","11","297","20","6.73%","58","19.53%"
"111","38.41%","15","5.19%","94","32.53%","12","289","24","8.30%","45","15.57%"
"80","57.55%","22","15.83%","31","22.30%","13","139","2","1.44%","4","2.88%"
"115","37.46%","46","14.98%","74","24.10%","14","307","17","5.54%","55","17.92%"
"152","42.34%","21","5.85%","102","28.41%","15","359","25","6.96%","59","16.43%"
"144","62.07%","24","10.34%","58","25.00%","16","232","2","0.86%","4","1.72%"
"146","54.48%","43","16.04%","72","26.87%","17","268","2","0.75%","5","1.87%"
"149","47.76%","17","5.45%","74","23.72%","18","312","14","4.49%","58","18.59%"
"103","39.77%","15","5.79%","51","19.69%","19","259","22","8.49%","68","26.25%"
"","%","","%","","%","","Votes Cast","","%","","%"
"149","51.03%","51","17.47%","77","26.37%","20","292","7","2.40%","8","2.74%"
"125","51.44%","38","15.64%","61","25.10%","21","243","6","2.47%","13","5.35%"
"162","50.15%","14","4.33%","100","30.96%","22","323","17","5.26%","30","9.29%"
"155","41.89%","14","3.78%","158","42.70%","23","370","15","4.05%","28","7.57%"
"116","44.27%","18","6.87%","83","31.68%","24","262","16","6.11%","29","11.07%"
"147","57.87%","37","14.57%","55","21.65%","25","254","4","1.57%","11","4.33%"
"139","41.87%","21","6.33%","81","24.40%","26","332","15","4.52%","76","22.89%"
"103","33.01%","26","8.33%","143","45.83%","27","312","11","3.53%","29","9.29%"
"148","44.98%","28","8.51%","83","25.23%","28","329","21","6.38%","49","14.89%"
"96","39.02%","13","5.28%","73","29.67%","29","246","13","5.28%","51","20.73%"
"167","48.27%","16","4.62%","66","19.08%","30","346","21","6.07%","76","21.97%"
"201","51.54%","20","5.13%","97","24.87%","31","390","18","4.62%","54","13.85%"
"123","43.77%","14","4.98%","76","27.05%","32","281","15","5.34%","53","18.86%"
"5329","44.56%","942","7.88%","3396","28.40%","","","588","4.92%","1703","14.24%"
"136","39.65%","19","5.54%","110","32.07%","33","343","15","4.37%","63","18.37%"
"105","38.89%","15","5.56%","72","26.67%","34","270","22","8.15%","56","20.74%"
"169","43.11%","29","7.40%","114","29.08%","35","392","23","5.87%","57","14.54%"
"121","35.17%","48","13.95%","90","26.16%","36","344","30","8.72%","55","15.99%"
"149","51.20%","56","19.24%","75","25.77%","37","291","9","3.09%","2","0.69%"
"166","46.37%","28","7.82%","106","29.61%","38","358","14","3.91%","44","12.29%"
"","%","","%","","%","","Votes Cast","","%","","%"
"102","45.54%","8","3.57%","51","22.77%","1","224","17","7.59%","46","20.54%"
"96","43.05%","6","2.69%","56","25.11%","2","223","17","7.62%","48","21.52%"
"76","27.64%","14","5.09%","167","60.73%","3","275","10","3.64%","8","2.91%"
"128","43.69%","26","8.87%","100","34.13%","4","293","12","4.10%","27","9.22%"
"127","44.41%","7","2.45%","80","27.97%","5","286","23","8.04%","49","17.13%"
"103","41.04%","9","3.59%","72","28.69%","6","251","11","4.38%","56","22.31%"
"146","55.09%","8","3.02%","72","27.17%","7","265","9","3.40%","30","11.32%"
"143","47.19%","10","3.30%","143","47.19%","8","303","1","0.33%","6","1.98%"
"150","46.73%","14","4.36%","112","34.89%","9","321","12","3.74%","33","10.28%"
"83","37.73%","11","5.00%","64","29.09%","10","220","16","7.27%","46","20.91%"
"134","40.48%","13","3.93%","157","47.43%","11","331","6","1.81%","21","6.34%"
"73","36.50%","9","4.50%","60","30.00%","12","200","8","4.00%","50","25.00%"
"108","42.35%","1","0.39%","78","30.59%","13","255","18","7.06%","50","19.61%"
"137","43.63%","15","4.78%","88","28.03%","14","314","26","8.28%","48","15.29%"
"130","49.06%","7","2.64%","78","29.43%","15","265","14","5.28%","36","13.58%"
"126","47.01%","14","5.22%","53","19.78%","16","268","20","7.46%","55","20.52%"
"108","47.37%","5","2.19%","49","21.49%","17","228","15","6.58%","51","22.37%"
"106","40.46%","15","5.73%","98","37.40%","18","262","18","6.87%","25","9.54%"
"106","33.65%","16","5.08%","165","52.38%","19","315","4","1.27%","24","7.62%"
"156","45.75%","19","5.57%","125","36.66%","20","341","12","3.52%","29","8.50%"
"94","35.74%","17","6.46%","122","46.39%","21","263","8","3.04%","22","8.37%"
"","%","","%","","%","","Votes Cast","","%","","%"
"221","60.05%","12","3.26%","103","27.99%","22","368","8","2.17%","24","6.52%"
"194","43.40%","28","6.26%","189","42.28%","23","447","11","2.46%","25","5.59%"
"94","32.41%","17","5.86%","136","46.90%","24","290","11","3.79%","32","11.03%"
"125","43.25%","13","4.50%","86","29.76%","25","289","14","4.84%","51","17.65%"
"118","45.74%","12","4.65%","67","25.97%","26","258","15","5.81%","46","17.83%"
"99","41.95%","9","3.81%","124","52.54%","27","236","1","0.42%","3","1.27%"
"141","41.96%","19","5.65%","96","28.57%","28","336","21","6.25%","59","17.56%"
"133","38.44%","18","5.20%","114","32.95%","29","346","22","6.36%","59","17.05%"
"73","38.42%","11","5.79%","48","25.26%","30","190","12","6.32%","46","24.21%"
"96","42.11%","15","6.58%","52","22.81%","31","228","13","5.70%","52","22.81%"
"153","43.84%","24","6.88%","105","30.09%","32","349","22","6.30%","45","12.89%"
"138","42.99%","13","4.05%","74","23.05%","33","321","33","10.28%","63","19.63%"
"177","52.99%","8","2.40%","142","42.51%","34","334","2","0.60%","5","1.50%"
"5088","44.00%","533","4.61%","3890","33.64%","","","558","4.83%","1494","12.92%"
"130","41.14%","17","5.38%","140","44.30%","35","316","10","3.16%","19","6.01%"
"98","45.58%","8","3.72%","31","14.42%","36","215","20","9.30%","58","26.98%"
"188","52.08%","20","5.54%","122","33.80%","37","361","11","3.05%","20","5.54%"
"121","48.59%","9","3.61%","43","17.27%","38","249","20","8.03%","56","22.49%"
"139","51.67%","10","3.72%","105","39.03%","39","269","7","2.60%","8","2.97%"
"102","40.32%","17","6.72%","62","24.51%","40","253","23","9.09%","49","19.37%"
"116","56.59%","9","4.39%","61","29.76%","41","205","5","2.44%","14","6.83%"
"","%","","%","","%","","Votes Cast","","%","","%"
"134","41.88%","22","6.88%","85","26.56%","1","320","24","7.50%","55","17.19%"
"132","45.52%","27","9.31%","50","17.24%","2","290","15","5.17%","66","22.76%"
"151","50.33%","11","3.67%","50","16.67%","3","300","26","8.67%","62","20.67%"
"86","44.79%","2","1.04%","41","21.35%","4","192","14","7.29%","49","25.52%"
"68","38.42%","6","3.39%","43","24.29%","5","177","8","4.52%","52","29.38%"
"118","43.54%","18","6.64%","72","26.57%","6","271","15","5.54%","48","17.71%"
"99","41.25%","3","1.25%","58","24.17%","7","240","19","7.92%","61","25.42%"
"130","45.30%","20","6.97%","74","25.78%","8","287","15","5.23%","48","16.72%"
"85","38.46%","7","3.17%","70","31.67%","9","221","16","7.24%","43","19.46%"
"73","50.69%","9","6.25%","21","14.58%","10","144","7","4.86%","34","23.61%"
"90","39.13%","8","3.48%","52","22.61%","11","230","16","6.96%","64","27.83%"
"61","40.67%","3","2.00%","32","21.33%","12","150","12","8.00%","42","28.00%"
"101","46.33%","20","9.17%","39","17.89%","13","218","14","6.42%","44","20.18%"
"104","39.85%","15","5.75%","52","19.92%","14","261","13","4.98%","77","29.50%"
"74","37.56%","8","4.06%","36","18.27%","15","197","6","3.05%","73","37.06%"
"146","47.10%","13","4.19%","64","20.65%","16","310","20","6.45%","67","21.61%"
"81","46.02%","6","3.41%","31","17.61%","17","176","10","5.68%","48","27.27%"
"99","48.77%","7","3.45%","27","13.30%","18","203","16","7.88%","54","26.60%"
"111","45.68%","10","4.12%","46","18.93%","19","243","12","4.94%","64","26.34%"
"58","43.94%","7","5.30%","26","19.70%","20","132","7","5.30%","34","25.76%"
"66","41.77%","3","1.90%","39","24.68%","21","158","3","1.90%","47","29.75%"
"82","45.30%","6","3.31%","41","22.65%","22","181","8","4.42%","44","24.31%"
"59","40.69%","4","2.76%","33","22.76%","23","145","6","4.14%","43","29.66%"
"75","49.67%","5","3.31%","15","9.93%","24","151","10","6.62%","46","30.46%"
"","%","","%","","%","","Votes Cast","","%","","%"
"68","47.22%","6","4.17%","20","13.89%","25","144","12","8.33%","38","26.39%"
"62","39.49%","7","4.46%","27","17.20%","26","157","17","10.83%","44","28.03%"
"44","30.99%","5","3.52%","23","16.20%","27","142","10","7.04%","60","42.25%"
"53","38.97%","4","2.94%","33","24.26%","28","136","6","4.41%","40","29.41%"
"149","45.43%","21","6.40%","78","23.78%","29","328","26","7.93%","54","16.46%"
"80","40.20%","10","5.03%","43","21.61%","30","199","12","6.03%","54","27.14%"
"120","42.25%","15","5.28%","76","26.76%","31","284","23","8.10%","50","17.61%"
"107","41.47%","13","5.04%","60","23.26%","32","258","16","6.20%","62","24.03%"
"119","43.27%","6","2.18%","55","20.00%","33","275","24","8.73%","71","25.82%"
"112","41.18%","9","3.31%","80","29.41%","34","272","16","5.88%","55","20.22%"
"109","41.29%","7","2.65%","67","25.38%","35","264","17","6.44%","64","24.24%"
"137","48.07%","12","4.21%","67","23.51%","36","285","22","7.72%","47","16.49%"
"115","35.38%","17","5.23%","87","26.77%","37","325","20","6.15%","86","26.46%"
"125","39.94%","20","6.39%","93","29.71%","38","313","30","9.58%","45","14.38%"
"93","39.41%","10","4.24%","60","25.42%","39","236","20","8.47%","53","22.46%"
"86","36.60%","8","3.40%","71","30.21%","40","235","17","7.23%","53","22.55%"
"4703","42.63%","519","4.70%","2525","22.89%","","","717","6.50%","2569","23.28%"
"119","46.30%","14","5.45%","54","21.01%","41","257","17","6.61%","53","20.62%"
"117","45.17%","18","6.95%","60","23.17%","42","259","11","4.25%","53","20.46%"
"92","38.33%","14","5.83%","65","27.08%","43","240","11","4.58%","58","24.17%"
"123","42.12%","12","4.11%","65","22.26%","44","292","20","6.85%","72","24.66%"
"116","41.28%","19","6.76%","78","27.76%","45","281","19","6.76%","49","17.44%"
"91","41.94%","12","5.53%","53","24.42%","46","217","11","5.07%","50","23.04%"
"72","38.10%","10","5.29%","49","25.93%","47","189","13","6.88%","45","23.81%"
"111","44.76%","10","4.03%","64","25.81%","48","248","15","6.05%","48","19.35%"
"","%","","%","","%","","Votes Cast","","%","","%"
"73","35.27%","13","6.28%","58","28.02%","1","207","12","5.80%","51","24.64%"
"91","45.50%","13","6.50%","51","25.50%","2","200","10","5.00%","35","17.50%"
"98","39.20%","7","2.80%","75","30.00%","3","250","27","10.80%","43","17.20%"
"91","38.72%","8","3.40%","64","27.23%","4","235","21","8.94%","51","21.70%"
"91","40.27%","7","3.10%","52","23.01%","5","226","17","7.52%","59","26.11%"
"123","42.41%","10","3.45%","92","31.72%","6","290","16","5.52%","49","16.90%"
"78","43.58%","6","3.35%","39","21.79%","7","179","12","6.70%","44","24.58%"
"138","55.87%","4","1.62%","28","11.34%","8","247","9","3.64%","68","27.53%"
"217","48.12%","15","3.33%","105","23.28%","9","451","26","5.76%","88","19.51%"
"105","40.70%","8","3.10%","77","29.84%","10","258","14","5.43%","54","20.93%"
"108","44.44%","8","3.29%","45","18.52%","11","243","20","8.23%","62","25.51%"
"98","46.89%","9","4.31%","42","20.10%","12","209","13","6.22%","47","22.49%"
"103","53.09%","5","2.58%","33","17.01%","13","194","14","7.22%","39","20.10%"
"97","40.42%","9","3.75%","57","23.75%","14","240","12","5.00%","65","27.08%"
"100","36.36%","12","4.36%","85","30.91%","15","275","20","7.27%","58","21.09%"
"74","40.22%","9","4.89%","47","25.54%","16","184","14","7.61%","40","21.74%"
"66","36.26%","6","3.30%","50","27.47%","17","182","9","4.95%","51","28.02%"
"76","37.81%","16","7.96%","49","24.38%","18","201","13","6.47%","47","23.38%"
"96","43.64%","4","1.82%","43","19.55%","19","220","24","10.91%","53","24.09%"
"82","49.40%","5","3.01%","31","18.67%","20","166","9","5.42%","39","23.49%"
"70","40.46%","3","1.73%","46","26.59%","21","173","12","6.94%","42","24.28%"
"96","46.38%","8","3.86%","53","25.60%","22","207","11","5.31%","39","18.84%"
"115","41.67%","18","6.52%","70","25.36%","23","276","17","6.16%","56","20.29%"
"","%","","%","","%","","Votes Cast","","%","","%"
"101","40.73%","12","4.84%","59","23.79%","24","248","17","6.85%","59","23.79%"
"81","39.90%","5","2.46%","59","29.06%","25","203","8","3.94%","50","24.63%"
"88","41.51%","8","3.77%","49","23.11%","26","212","17","8.02%","50","23.58%"
"103","46.19%","11","4.93%","45","20.18%","27","223","18","8.07%","46","20.63%"
"74","42.05%","2","1.14%","47","26.70%","28","176","9","5.11%","44","25.00%"
"107","50.95%","9","4.29%","33","15.71%","29","210","14","6.67%","47","22.38%"
"69","39.43%","8","4.57%","49","28.00%","30","175","12","6.86%","37","21.14%"
"64","43.24%","7","4.73%","54","36.49%","31","148","6","4.05%","17","11.49%"
"196","50.00%","29","7.40%","81","20.66%","32","392","29","7.40%","57","14.54%"
"167","45.14%","15","4.05%","108","29.19%","33","370","26","7.03%","54","14.59%"
"125","39.94%","22","7.03%","65","20.77%","34","313","32","10.22%","69","22.04%"
"91","38.72%","12","5.11%","68","28.94%","35","235","11","4.68%","53","22.55%"
"125","39.31%","16","5.03%","93","29.25%","36","318","24","7.55%","60","18.87%"
"124","41.75%","14","4.71%","92","30.98%","37","297","21","7.07%","46","15.49%"
"87","48.88%","9","5.06%","35","19.66%","38","178","11","6.18%","36","20.22%"
"103","46.19%","4","1.79%","49","21.97%","39","223","23","10.31%","44","19.73%"
"4690","43.76%","439","4.10%","2595","24.21%","","","700","6.53%","2294","21.40%"
"118","46.83%","8","3.17%","53","21.03%","40","252","15","5.95%","58","23.02%"
"96","43.44%","16","7.24%","48","21.72%","41","221","10","4.52%","51","23.08%"
"107","49.77%","6","2.79%","43","20.00%","42","215","15","6.98%","44","20.47%"
"110","45.83%","7","2.92%","54","22.50%","43","240","8","3.33%","61","25.42%"
"96","46.83%","5","2.44%","44","21.46%","44","205","6","2.93%","54","26.34%"
"98","43.56%","8","3.56%","58","25.78%","45","225","8","3.56%","53","23.56%"
"74","58.73%","3","2.38%","17","13.49%","46","126","8","6.35%","24","19.05%"
"","%","","%","","%","","Votes Cast","","%","","%"
"74","40.44%","5","2.73%","35","19.13%","1","183","15","8.20%","54","29.51%"
"106","47.11%","16","7.11%","51","22.67%","2","225","14","6.22%","38","16.89%"
"146","44.38%","25","7.60%","72","21.88%","3","329","18","5.47%","68","20.67%"
"146","48.18%","5","1.65%","78","25.74%","4","303","26","8.58%","48","15.84%"
"131","38.76%","15","4.44%","87","25.74%","5","338","22","6.51%","83","24.56%"
"131","49.62%","11","4.17%","64","24.24%","6","264","13","4.92%","45","17.05%"
"144","44.58%","9","2.79%","98","30.34%","7","323","17","5.26%","55","17.03%"
"130","43.33%","22","7.33%","72","24.00%","8","300","18","6.00%","58","19.33%"
"80","43.96%","6","3.30%","52","28.57%","9","182","13","7.14%","31","17.03%"
"145","40.39%","24","6.69%","113","31.48%","10","359","24","6.69%","53","14.76%"
"113","44.49%","11","4.33%","56","22.05%","11","254","27","10.63%","47","18.50%"
"104","45.61%","8","3.51%","55","24.12%","12","228","11","4.82%","50","21.93%"
